,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,robot,robot,robot,robot,robot,robot,robot
,u,u_dir,A,B,C,u,u_dir,A,B,C,u,u_dir,A,B,C,u,u_dir,A,B,C,u1,u1_dir,u2,u2_dir,x,y,z
47,0.08571806141985631,True,"Coordinate({'z': 0, 'y': 0.09597452592567453, 'x': 0.0010352421690801514})","Coordinate({'z': 0, 'y': 0.04099602892203067, 'x': 0.01867456239408226})","Coordinate({'z': 0.049215989226063094, 'y': 0.0684852774238526, 'x': 0.009854902281581205})",-0.08571806141985631,False,"Coordinate({'z': 0, 'y': 0.09594032001287421, 'x': -0.08103524216908015})","Coordinate({'z': 0, 'y': 0.040961823009230354, 'x': -0.01867456239408226})","Coordinate({'z': 0.03908690835177481, 'y': 0.06845107151105229, 'x': -0.0498549022815812})",-0.08571806141985631,False,"Coordinate({'z': 0, 'y': 0.09594032001287421, 'x': -0.08103524216908015})","Coordinate({'z': 0, 'y': 0.040961823009230354, 'x': -0.01867456239408226})","Coordinate({'z': 0.03908690835177481, 'y': 0.06845107151105229, 'x': -0.0498549022815812})",0.08571806141985631,True,"Coordinate({'z': 0, 'y': 0.09597452592567453, 'x': 0.0010352421690801514})","Coordinate({'z': 0, 'y': 0.04099602892203067, 'x': 0.01867456239408226})","Coordinate({'z': 0.049215989226063094, 'y': 0.0684852774238526, 'x': 0.009854902281581205})",0.08571806141985631,1.0,-0.08571806141985631,0.0,-0.05497439851795956,0.0,0.0
48,0.08754184996070431,True,"Coordinate({'z': 0, 'y': 0.09440333904413559, 'x': 0.0028590307099281495})","Coordinate({'z': 0, 'y': 0.03942484204049173, 'x': 0.020498350934930257})","Coordinate({'z': 0.049215989226063094, 'y': 0.06691409054231366, 'x': 0.011678690822429203})",-0.08754184996070431,False,"Coordinate({'z': 0, 'y': 0.0943630942043846, 'x': -0.08285903070992814})","Coordinate({'z': 0, 'y': 0.039384597200740744, 'x': -0.020498350934930257})","Coordinate({'z': 0.03908690835177481, 'y': 0.06687384570256268, 'x': -0.0516786908224292})",-0.08754184996070431,False,"Coordinate({'z': 0, 'y': 0.0943630942043846, 'x': -0.08285903070992814})","Coordinate({'z': 0, 'y': 0.039384597200740744, 'x': -0.020498350934930257})","Coordinate({'z': 0.03908690835177481, 'y': 0.06687384570256268, 'x': -0.0516786908224292})",0.08754184996070431,True,"Coordinate({'z': 0, 'y': 0.09440333904413559, 'x': 0.0028590307099281495})","Coordinate({'z': 0, 'y': 0.03942484204049173, 'x': 0.020498350934930257})","Coordinate({'z': 0.049215989226063094, 'y': 0.06691409054231366, 'x': 0.011678690822429203})",0.08754184996070431,1.0,-0.08754184996070431,0.0,-0.056798187058807556,0.0,0.0
49,0.08936563850155232,True,"Coordinate({'z': 0, 'y': 0.0925454253339257, 'x': 0.0046828192507761615})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.049215989226063094, 'y': 0.06505617683210377, 'x': 0.013502479363277215})",-0.08936563850155232,False,"Coordinate({'z': 0, 'y': 0.09249752897518111, 'x': -0.08468281925077617})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.0390869083517748, 'y': 0.06500828047335919, 'x': -0.05350247936327722})",-0.08936563850155232,False,"Coordinate({'z': 0, 'y': 0.09249752897518111, 'x': -0.08468281925077617})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.0390869083517748, 'y': 0.06500828047335919, 'x': -0.05350247936327722})",0.08936563850155232,True,"Coordinate({'z': 0, 'y': 0.0925454253339257, 'x': 0.0046828192507761615})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.049215989226063094, 'y': 0.06505617683210377, 'x': 0.013502479363277215})",0.08936563850155232,1.0,-0.08936563850155232,0.0,-0.05862197559965557,0.0,0.0
50,0.08936563850155232,False,"Coordinate({'z': 0, 'y': 0.09252135821301051, 'x': 0.0046828192507761615})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.049215989226063094, 'y': 0.06504414327164618, 'x': 0.013502479363277215})",-0.08936563850155232,True,"Coordinate({'z': 0, 'y': 0.09252154407836642, 'x': -0.08468281925077617})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.0390869083517748, 'y': 0.06502028802495184, 'x': -0.05350247936327722})",-0.08936563850155232,True,"Coordinate({'z': 0, 'y': 0.09252154407836642, 'x': -0.08468281925077617})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.0390869083517748, 'y': 0.06502028802495184, 'x': -0.05350247936327722})",0.08936563850155232,False,"Coordinate({'z': 0, 'y': 0.09252135821301051, 'x': 0.0046828192507761615})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.049215989226063094, 'y': 0.06504414327164618, 'x': 0.013502479363277215})",0.08936563850155232,0.0,-0.08936563850155232,1.0,-0.05862197559965557,0.0,0.0
51,0.08754184996070431,False,"Coordinate({'z': 0, 'y': 0.09439382176622926, 'x': 0.0028590307099281495})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04904382580195159, 'y': 0.06598037504825555, 'x': 0.012590585092853209})",-0.08754184996070431,True,"Coordinate({'z': 0, 'y': 0.09438631252869532, 'x': -0.08285903070992814})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.03979725116042787, 'y': 0.06595267225011629, 'x': -0.052590585092853206})",-0.08754184996070431,True,"Coordinate({'z': 0, 'y': 0.09438631252869532, 'x': -0.08285903070992814})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.03979725116042787, 'y': 0.06595267225011629, 'x': -0.052590585092853206})",0.08754184996070431,False,"Coordinate({'z': 0, 'y': 0.09439382176622926, 'x': 0.0028590307099281495})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04904382580195159, 'y': 0.06598037504825555, 'x': 0.012590585092853209})",0.08754184996070431,0.0,-0.08754184996070431,1.0,-0.05771008132923156,0.0,0.0
52,0.08571806141985631,False,"Coordinate({'z': 0, 'y': 0.0959764848416183, 'x': 0.0010352421690801514})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.048854037711979575, 'y': 0.06677170658595007, 'x': 0.01167869082242921})",-0.08571806141985631,True,"Coordinate({'z': 0, 'y': 0.09596290987490524, 'x': -0.08103524216908015})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.040474595650005545, 'y': 0.06674097092322125, 'x': -0.05167869082242921})",-0.08571806141985631,True,"Coordinate({'z': 0, 'y': 0.09596290987490524, 'x': -0.08103524216908015})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.040474595650005545, 'y': 0.06674097092322125, 'x': -0.05167869082242921})",0.08571806141985631,False,"Coordinate({'z': 0, 'y': 0.0959764848416183, 'x': 0.0010352421690801514})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.048854037711979575, 'y': 0.06677170658595007, 'x': 0.01167869082242921})",0.08571806141985631,0.0,-0.08571806141985631,1.0,-0.05679818705880756,0.0,0.0
53,0.0838942728790083,False,"Coordinate({'z': 0, 'y': 0.09732493831056654, 'x': -0.0007885463717678606})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.048646418675109146, 'y': 0.06744593332042419, 'x': 0.010766796552005204})",-0.0838942728790083,True,"Coordinate({'z': 0, 'y': 0.09730633682244022, 'x': -0.07921145362823215})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04112057251323056, 'y': 0.06741268439698873, 'x': -0.05076679655200521})",-0.0838942728790083,True,"Coordinate({'z': 0, 'y': 0.09730633682244022, 'x': -0.07921145362823215})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04112057251323056, 'y': 0.06741268439698873, 'x': -0.05076679655200521})",0.0838942728790083,False,"Coordinate({'z': 0, 'y': 0.09732493831056654, 'x': -0.0007885463717678606})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.048646418675109146, 'y': 0.06744593332042419, 'x': 0.010766796552005204})",0.0838942728790083,0.0,-0.0838942728790083,1.0,-0.05588629278838356,0.0,0.0
54,0.0820704843381603,False,"Coordinate({'z': 0, 'y': 0.09847574673151996, 'x': -0.0026123349126158588})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04842073932462855, 'y': 0.0680213375309009, 'x': 0.009854902281581205})",-0.0820704843381603,True,"Coordinate({'z': 0, 'y': 0.09845282484234191, 'x': -0.07738766508738415})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.041736638248419035, 'y': 0.06798592840693958, 'x': -0.04985490228158121})",-0.0820704843381603,True,"Coordinate({'z': 0, 'y': 0.09845282484234191, 'x': -0.07738766508738415})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.041736638248419035, 'y': 0.06798592840693958, 'x': -0.04985490228158121})",0.0820704843381603,False,"Coordinate({'z': 0, 'y': 0.09847574673151996, 'x': -0.0026123349126158588})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04842073932462855, 'y': 0.0680213375309009, 'x': 0.009854902281581205})",0.0820704843381603,0.0,-0.0820704843381603,1.0,-0.05497439851795956,0.0,0.0
55,0.08024669579731229,False,"Coordinate({'z': 0, 'y': 0.09945428006470346, 'x': -0.004436123453463871})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.048176745855779704, 'y': 0.06851060419749265, 'x': 0.008943008011157199})",-0.08024669579731229,True,"Coordinate({'z': 0, 'y': 0.09942753846307449, 'x': -0.07556387654653612})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04232409902670195, 'y': 0.06847328521730588, 'x': -0.048943008011157196})",-0.08024669579731229,True,"Coordinate({'z': 0, 'y': 0.09942753846307449, 'x': -0.07556387654653612})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04232409902670195, 'y': 0.06847328521730588, 'x': -0.048943008011157196})",0.08024669579731229,False,"Coordinate({'z': 0, 'y': 0.09945428006470346, 'x': -0.004436123453463871})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.048176745855779704, 'y': 0.06851060419749265, 'x': 0.008943008011157199})",0.08024669579731229,0.0,-0.08024669579731229,1.0,-0.05406250424753555,0.0,0.0
56,0.07842290725646428,False,"Coordinate({'z': 0, 'y': 0.10027877977903762, 'x': -0.006259911994311883})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04791415848619571, 'y': 0.06892285405465973, 'x': 0.008031113740733193})",-0.07842290725646428,True,"Coordinate({'z': 0, 'y': 0.1002485835353369, 'x': -0.07374008800568813})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.042884130424247685, 'y': 0.06888380775343708, 'x': -0.0480311137407332})",-0.07842290725646428,True,"Coordinate({'z': 0, 'y': 0.1002485835353369, 'x': -0.07374008800568813})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.042884130424247685, 'y': 0.06888380775343708, 'x': -0.0480311137407332})",0.07842290725646428,False,"Coordinate({'z': 0, 'y': 0.10027877977903762, 'x': -0.006259911994311883})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04791415848619571, 'y': 0.06892285405465973, 'x': 0.008031113740733193})",0.07842290725646428,0.0,-0.07842290725646428,1.0,-0.053150609977111546,0.0,0.0
57,0.07659911871561628,False,"Coordinate({'z': 0, 'y': 0.10096265646841276, 'x': -0.008083700535159881})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04763266970585744, 'y': 0.0692647923993473, 'x': 0.007119219470309194})",-0.07659911871561628,True,"Coordinate({'z': 0, 'y': 0.10092927598622499, 'x': -0.07191629946484013})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04341779386086809, 'y': 0.06922415397888113, 'x': -0.0471192194703092})",-0.07659911871561628,True,"Coordinate({'z': 0, 'y': 0.10092927598622499, 'x': -0.07191629946484013})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04341779386086809, 'y': 0.06922415397888113, 'x': -0.0471192194703092})",0.07659911871561628,False,"Coordinate({'z': 0, 'y': 0.10096265646841276, 'x': -0.008083700535159881})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04763266970585744, 'y': 0.0692647923993473, 'x': 0.007119219470309194})",0.07659911871561628,0.0,-0.07659911871561628,1.0,-0.05223871570668755,0.0,0.0
58,0.07477533017476827,False,"Coordinate({'z': 0, 'y': 0.10151587049170774, 'x': -0.009907489076007893})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04733194228904486, 'y': 0.06954139941099478, 'x': 0.006207325199885188})",-0.07477533017476827,True,"Coordinate({'z': 0, 'y': 0.10147950678408511, 'x': -0.0700925109239921})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04392605039068411, 'y': 0.06949926937781119, 'x': -0.046207325199885185})",-0.07477533017476827,True,"Coordinate({'z': 0, 'y': 0.10147950678408511, 'x': -0.0700925109239921})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04392605039068411, 'y': 0.06949926937781119, 'x': -0.046207325199885185})",0.07477533017476827,False,"Coordinate({'z': 0, 'y': 0.10151587049170774, 'x': -0.009907489076007893})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04733194228904486, 'y': 0.06954139941099478, 'x': 0.006207325199885188})",0.07477533017476827,0.0,-0.07477533017476827,1.0,-0.05132682143626354,0.0,0.0
59,0.07295154163392026,False,"Coordinate({'z': 0, 'y': 0.10194579864185828, 'x': -0.011731277616855905})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04701160703569676, 'y': 0.06975636348607006, 'x': 0.005295430929461182})",-0.07295154163392026,True,"Coordinate({'z': 0, 'y': 0.10190659948154274, 'x': -0.0682687223831441})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04440977234555633, 'y': 0.06971281572653999, 'x': -0.045295430929461186})",-0.07295154163392026,True,"Coordinate({'z': 0, 'y': 0.10190659948154274, 'x': -0.0682687223831441})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04440977234555633, 'y': 0.06971281572653999, 'x': -0.045295430929461186})",0.07295154163392026,False,"Coordinate({'z': 0, 'y': 0.10194579864185828, 'x': -0.011731277616855905})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04701160703569676, 'y': 0.06975636348607006, 'x': 0.005295430929461182})",0.07295154163392026,0.0,-0.07295154163392026,1.0,-0.050414927165839535,0.0,0.0
60,0.07112775309307226,False,"Coordinate({'z': 0, 'y': 0.10225779311853814, 'x': -0.013555066157703903})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04667126020350435, 'y': 0.06991236072440998, 'x': 0.004383536659037183})",-0.07112775309307226,True,"Coordinate({'z': 0, 'y': 0.10221586353647572, 'x': -0.0664449338422961})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04486975322332959, 'y': 0.06986744775400648, 'x': -0.04438353665903719})",-0.07112775309307226,True,"Coordinate({'z': 0, 'y': 0.10221586353647572, 'x': -0.0664449338422961})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04486975322332959, 'y': 0.06986744775400648, 'x': -0.04438353665903719})",0.07112775309307226,False,"Coordinate({'z': 0, 'y': 0.10225779311853814, 'x': -0.013555066157703903})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04667126020350435, 'y': 0.06991236072440998, 'x': 0.004383536659037183})",0.07112775309307226,0.0,-0.07112775309307226,1.0,-0.049503032895415536,0.0,0.0
61,0.06930396455222425,False,"Coordinate({'z': 0, 'y': 0.102455544671817, 'x': -0.015378854698551915})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.046310460584697066, 'y': 0.07001123650104941, 'x': 0.003471642388613177})",-0.06930396455222425,True,"Coordinate({'z': 0, 'y': 0.10241095373501877, 'x': -0.06462114530144808})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04530671613061344, 'y': 0.06996499285327801, 'x': -0.043471642388613174})",-0.06930396455222425,True,"Coordinate({'z': 0, 'y': 0.10241095373501877, 'x': -0.06462114530144808})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04530671613061344, 'y': 0.06996499285327801, 'x': -0.043471642388613174})",0.06930396455222425,False,"Coordinate({'z': 0, 'y': 0.102455544671817, 'x': -0.015378854698551915})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.046310460584697066, 'y': 0.07001123650104941, 'x': 0.003471642388613177})",0.06930396455222425,0.0,-0.06930396455222425,1.0,-0.04859113862499153,0.0,0.0
62,0.06748017601137625,False,"Coordinate({'z': 0, 'y': 0.10254131286809054, 'x': -0.017202643239399913})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.045928726172510904, 'y': 0.07005412059918618, 'x': 0.0025597481181891778})",-0.06748017601137625,True,"Coordinate({'z': 0, 'y': 0.10249409783470972, 'x': -0.06279735676060008})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04572132102680997, 'y': 0.07000656490312349, 'x': -0.042559748118189175})",-0.06748017601137625,True,"Coordinate({'z': 0, 'y': 0.10249409783470972, 'x': -0.06279735676060008})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04572132102680997, 'y': 0.07000656490312349, 'x': -0.042559748118189175})",0.06748017601137625,False,"Coordinate({'z': 0, 'y': 0.10254131286809054, 'x': -0.017202643239399913})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.045928726172510904, 'y': 0.07005412059918618, 'x': 0.0025597481181891778})",0.06748017601137625,0.0,-0.06748017601137625,1.0,-0.04767924435456753,0.0,0.0
63,0.06565638747052824,False,"Coordinate({'z': 0, 'y': 0.10251605912492477, 'x': -0.019026431780247925})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.045525530351346065, 'y': 0.07004149372760331, 'x': 0.0016478538477651718})",-0.06565638747052824,True,"Coordinate({'z': 0, 'y': 0.10246622758794971, 'x': -0.060973568219752076})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04611417096741932, 'y': 0.06999262977974348, 'x': -0.041647853847765176})",-0.06565638747052824,True,"Coordinate({'z': 0, 'y': 0.10246622758794971, 'x': -0.060973568219752076})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04611417096741932, 'y': 0.06999262977974348, 'x': -0.041647853847765176})",0.06565638747052824,False,"Coordinate({'z': 0, 'y': 0.10251605912492477, 'x': -0.019026431780247925})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.045525530351346065, 'y': 0.07004149372760331, 'x': 0.0016478538477651718})",0.06565638747052824,0.0,-0.06565638747052824,1.0,-0.04859113862499153,0.0,0.0
64,0.06383259892968024,False,"Coordinate({'z': 0, 'y': 0.10237950151239364, 'x': -0.020850220321095923})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.045100297531084105, 'y': 0.06997321492133773, 'x': 0.0007359595773411727})",-0.06383259892968024,True,"Coordinate({'z': 0, 'y': 0.10232703182819591, 'x': -0.05914977967890408})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04648581750671142, 'y': 0.06992303189986658, 'x': -0.04073595957734118})",-0.06383259892968024,True,"Coordinate({'z': 0, 'y': 0.10232703182819591, 'x': -0.05914977967890408})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04648581750671142, 'y': 0.06992303189986658, 'x': -0.04073595957734118})",0.06383259892968024,False,"Coordinate({'z': 0, 'y': 0.10237950151239364, 'x': -0.020850220321095923})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.045100297531084105, 'y': 0.06997321492133773, 'x': 0.0007359595773411727})",0.06383259892968024,0.0,-0.06383259892968024,1.0,-0.04950303289541553,0.0,0.0
65,0.06200881038883223,False,"Coordinate({'z': 0, 'y': 0.10213009879380394, 'x': -0.022674008861943935})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.044652398129243015, 'y': 0.06984851356204289, 'x': -0.0001759346930828333})",-0.06200881038883223,True,"Coordinate({'z': 0, 'y': 0.10207493885315422, 'x': -0.057325991138056066})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04683676539003642, 'y': 0.06979698541234573, 'x': -0.039824065306917164})",-0.06200881038883223,True,"Coordinate({'z': 0, 'y': 0.10207493885315422, 'x': -0.057325991138056066})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04683676539003642, 'y': 0.06979698541234573, 'x': -0.039824065306917164})",0.06200881038883223,False,"Coordinate({'z': 0, 'y': 0.10213009879380394, 'x': -0.022674008861943935})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.044652398129243015, 'y': 0.06984851356204289, 'x': -0.0001759346930828333})",0.06200881038883223,0.0,-0.06200881038883223,1.0,-0.05041492716583954,0.0,0.0
66,0.060185021847984216,False,"Coordinate({'z': 0, 'y': 0.1017649615511411, 'x': -0.024497797402791947})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04418114278367724, 'y': 0.06966594494071147, 'x': -0.0010878289635068393})",-0.060185021847984216,True,"Coordinate({'z': 0, 'y': 0.10170702572602855, 'x': -0.055502202597208054})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04716747664243323, 'y': 0.0696130288487829, 'x': -0.038912171036493165})",-0.060185021847984216,True,"Coordinate({'z': 0, 'y': 0.10170702572602855, 'x': -0.055502202597208054})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04716747664243323, 'y': 0.0696130288487829, 'x': -0.038912171036493165})",0.060185021847984216,False,"Coordinate({'z': 0, 'y': 0.1017649615511411, 'x': -0.024497797402791947})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04418114278367724, 'y': 0.06966594494071147, 'x': -0.0010878289635068393})",0.060185021847984216,0.0,-0.060185021847984216,1.0,-0.05132682143626354,0.0,0.0
67,0.05836123330713622,False,"Coordinate({'z': 0, 'y': 0.10127967807324789, 'x': -0.026321585943639945})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04368577565215092, 'y': 0.06942330320176486, 'x': -0.0019997232339308384})",-0.05836123330713622,True,"Coordinate({'z': 0, 'y': 0.1012188419065646, 'x': -0.053678414056360056})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.0474783741413582, 'y': 0.06936893693905093, 'x': -0.038000276766069166})",-0.05836123330713622,True,"Coordinate({'z': 0, 'y': 0.1012188419065646, 'x': -0.053678414056360056})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.0474783741413582, 'y': 0.06936893693905093, 'x': -0.038000276766069166})",0.05836123330713622,False,"Coordinate({'z': 0, 'y': 0.10127967807324789, 'x': -0.026321585943639945})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.04368577565215092, 'y': 0.06942330320176486, 'x': -0.0019997232339308384})",0.05836123330713622,0.0,-0.05836123330713622,1.0,-0.05223871570668754,0.0,0.0
68,0.056537444766288206,False,"Coordinate({'z': 0, 'y': 0.100668029319721, 'x': -0.028145374484487957})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.043165466621682476, 'y': 0.06911747882500142, 'x': -0.0029116175043548444})",-0.056537444766288206,True,"Coordinate({'z': 0, 'y': 0.10060412114292155, 'x': -0.051854625515512044})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04776984474622283, 'y': 0.0690615765572294, 'x': -0.03708838249564515})",-0.056537444766288206,True,"Coordinate({'z': 0, 'y': 0.10060412114292155, 'x': -0.051854625515512044})","Coordinate({'z': 0, 'y': 0.037519031971537255, 'x': -0.02232213947577827})","Coordinate({'z': 0.04776984474622283, 'y': 0.0690615765572294, 'x': -0.03708838249564515})",0.056537444766288206,False,"Coordinate({'z': 0, 'y': 0.100668029319721, 'x': -0.028145374484487957})","Coordinate({'z': 0, 'y': 0.037566928330281836, 'x': 0.02232213947577827})","Coordinate({'z': 0.043165466621682476, 'y': 0.06911747882500142, 'x': -0.0029116175043548444})",0.056537444766288206,0.0,-0.056537444766288206,1.0,-0.05315060997711155,0.0,0.0
