,J1,J1,J1,J1,J1,J2,J2,J2,J2,J2,J3,J3,J3,J3,J3,J4,J4,J4,J4,J4,robot,robot,robot,robot,robot,robot,robot
,u,u_dir,A,B,C,u,u_dir,A,B,C,u,u_dir,A,B,C,u,u_dir,A,B,C,u1,u1_dir,u2,u2_dir,x,y,z
9,0.01641409686763206,True,"Coordinate({'z': 0, 'y': 0.10193057350271778, 'x': -0.0682687223831441})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04440977234555633, 'y': 0.06973678974771505, 'x': -0.045295430929461186})",-0.01641409686763206,False,"Coordinate({'z': 0, 'y': 0.10192187630428874, 'x': -0.011731277616855898})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04701160703569676, 'y': 0.06973244114850052, 'x': 0.005295430929461185})",-0.01641409686763206,False,"Coordinate({'z': 0, 'y': 0.10192187630428874, 'x': -0.011731277616855898})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04701160703569676, 'y': 0.06973244114850052, 'x': 0.005295430929461185})",0.01641409686763206,True,"Coordinate({'z': 0, 'y': 0.10193057350271778, 'x': -0.0682687223831441})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04440977234555633, 'y': 0.06973678974771505, 'x': -0.045295430929461186})",0.01641409686763206,1.0,-0.01641409686763206,0.0,-0.005295430929461185,0.0,0.0
10,0.018237885408480065,True,"Coordinate({'z': 0, 'y': 0.10223983755765076, 'x': -0.0664449338422961})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04486975322332959, 'y': 0.06989142177518154, 'x': -0.04438353665903719})",-0.018237885408480065,False,"Coordinate({'z': 0, 'y': 0.1022338707809686, 'x': -0.013555066157703903})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04667126020350435, 'y': 0.06988843838684045, 'x': 0.004383536659037183})",-0.018237885408480065,False,"Coordinate({'z': 0, 'y': 0.1022338707809686, 'x': -0.013555066157703903})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04667126020350435, 'y': 0.06988843838684045, 'x': 0.004383536659037183})",0.018237885408480065,True,"Coordinate({'z': 0, 'y': 0.10223983755765076, 'x': -0.0664449338422961})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04486975322332959, 'y': 0.06989142177518154, 'x': -0.04438353665903719})",0.018237885408480065,1.0,-0.018237885408480065,0.0,-0.004383536659037183,0.0,0.0
11,0.020061673949328073,True,"Coordinate({'z': 0, 'y': 0.10243492775619381, 'x': -0.0646211453014481})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04530671613061344, 'y': 0.06998896687445305, 'x': -0.04347164238861318})",-0.020061673949328073,False,"Coordinate({'z': 0, 'y': 0.10243162233424746, 'x': -0.015378854698551912})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.046310460584697066, 'y': 0.06998731416347989, 'x': 0.0034716423886131786})",-0.020061673949328073,False,"Coordinate({'z': 0, 'y': 0.10243162233424746, 'x': -0.015378854698551912})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.046310460584697066, 'y': 0.06998731416347989, 'x': 0.0034716423886131786})",0.020061673949328073,True,"Coordinate({'z': 0, 'y': 0.10243492775619381, 'x': -0.0646211453014481})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04530671613061344, 'y': 0.06998896687445305, 'x': -0.04347164238861318})",0.020061673949328073,1.0,-0.020061673949328073,0.0,-0.0034716423886131786,0.0,0.0
12,0.021885462490176078,True,"Coordinate({'z': 0, 'y': 0.10251807185588477, 'x': -0.06279735676060008})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04572132102680997, 'y': 0.07003053892429853, 'x': -0.042559748118189175})",-0.021885462490176078,False,"Coordinate({'z': 0, 'y': 0.102517390530521, 'x': -0.017202643239399917})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.045928726172510904, 'y': 0.07003019826161666, 'x': 0.002559748118189176})",-0.021885462490176078,False,"Coordinate({'z': 0, 'y': 0.102517390530521, 'x': -0.017202643239399917})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.045928726172510904, 'y': 0.07003019826161666, 'x': 0.002559748118189176})",0.021885462490176078,True,"Coordinate({'z': 0, 'y': 0.10251807185588477, 'x': -0.06279735676060008})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04572132102680997, 'y': 0.07003053892429853, 'x': -0.042559748118189175})",0.021885462490176078,1.0,-0.021885462490176078,0.0,-0.002559748118189176,0.0,0.0
13,0.023709251031024087,True,"Coordinate({'z': 0, 'y': 0.10249020160912475, 'x': -0.060973568219752076})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04611417096741932, 'y': 0.07001660380091854, 'x': -0.041647853847765176})",-0.023709251031024087,False,"Coordinate({'z': 0, 'y': 0.10249213678735523, 'x': -0.019026431780247925})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.045525530351346065, 'y': 0.07001757139003377, 'x': 0.0016478538477651718})",-0.023709251031024087,False,"Coordinate({'z': 0, 'y': 0.10249213678735523, 'x': -0.019026431780247925})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.045525530351346065, 'y': 0.07001757139003377, 'x': 0.0016478538477651718})",0.023709251031024087,True,"Coordinate({'z': 0, 'y': 0.10249020160912475, 'x': -0.060973568219752076})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04611417096741932, 'y': 0.07001660380091854, 'x': -0.041647853847765176})",0.023709251031024087,1.0,-0.023709251031024087,0.0,-0.003471642388613175,0.0,0.0
14,0.025533039571872092,True,"Coordinate({'z': 0, 'y': 0.10235100584937096, 'x': -0.05914977967890407})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04648581750671142, 'y': 0.06994700592104164, 'x': -0.04073595957734117})",-0.025533039571872092,False,"Coordinate({'z': 0, 'y': 0.1023555791748241, 'x': -0.02085022032109593})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.0451002975310841, 'y': 0.0699492925837682, 'x': 0.0007359595773411692})",-0.025533039571872092,False,"Coordinate({'z': 0, 'y': 0.1023555791748241, 'x': -0.02085022032109593})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.0451002975310841, 'y': 0.0699492925837682, 'x': 0.0007359595773411692})",0.025533039571872092,True,"Coordinate({'z': 0, 'y': 0.10235100584937096, 'x': -0.05914977967890407})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04648581750671142, 'y': 0.06994700592104164, 'x': -0.04073595957734117})",0.025533039571872092,1.0,-0.025533039571872092,0.0,-0.004383536659037181,0.0,0.0
15,0.0273568281127201,True,"Coordinate({'z': 0, 'y': 0.10209891287432926, 'x': -0.05732599113805606})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04683676539003642, 'y': 0.06982095943352079, 'x': -0.039824065306917164})",-0.0273568281127201,False,"Coordinate({'z': 0, 'y': 0.1021061764562344, 'x': -0.02267400886194394})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.044652398129243015, 'y': 0.06982459122447335, 'x': -0.00017593469308283503})",-0.0273568281127201,False,"Coordinate({'z': 0, 'y': 0.1021061764562344, 'x': -0.02267400886194394})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.044652398129243015, 'y': 0.06982459122447335, 'x': -0.00017593469308283503})",0.0273568281127201,True,"Coordinate({'z': 0, 'y': 0.10209891287432926, 'x': -0.05732599113805606})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04683676539003642, 'y': 0.06982095943352079, 'x': -0.039824065306917164})",0.0273568281127201,1.0,-0.0273568281127201,0.0,-0.005295430929461187,0.0,0.0
16,0.029180616653568105,True,"Coordinate({'z': 0, 'y': 0.1017309997472036, 'x': -0.05550220259720806})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.047167476642433225, 'y': 0.06963700286995794, 'x': -0.038912171036493165})",-0.029180616653568105,False,"Coordinate({'z': 0, 'y': 0.10174103921357158, 'x': -0.024497797402791944})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04418114278367724, 'y': 0.06964202260314195, 'x': -0.0010878289635068376})",-0.029180616653568105,False,"Coordinate({'z': 0, 'y': 0.10174103921357158, 'x': -0.024497797402791944})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04418114278367724, 'y': 0.06964202260314195, 'x': -0.0010878289635068376})",0.029180616653568105,True,"Coordinate({'z': 0, 'y': 0.1017309997472036, 'x': -0.05550220259720806})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.047167476642433225, 'y': 0.06963700286995794, 'x': -0.038912171036493165})",0.029180616653568105,1.0,-0.029180616653568105,0.0,-0.006207325199885186,0.0,0.0
17,0.03100440519441611,True,"Coordinate({'z': 0, 'y': 0.10124281592773965, 'x': -0.05367841405636005})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.0474783741413582, 'y': 0.06939291096022598, 'x': -0.03800027676606916})",-0.03100440519441611,False,"Coordinate({'z': 0, 'y': 0.10125575573567835, 'x': -0.02632158594363995})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04368577565215092, 'y': 0.06939938086419534, 'x': -0.00199972323393084})",-0.03100440519441611,False,"Coordinate({'z': 0, 'y': 0.10125575573567835, 'x': -0.02632158594363995})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.04368577565215092, 'y': 0.06939938086419534, 'x': -0.00199972323393084})",0.03100440519441611,True,"Coordinate({'z': 0, 'y': 0.10124281592773965, 'x': -0.05367841405636005})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.0474783741413582, 'y': 0.06939291096022598, 'x': -0.03800027676606916})",0.03100440519441611,1.0,-0.03100440519441611,0.0,-0.007119219470309192,0.0,0.0
18,0.03282819373526412,True,"Coordinate({'z': 0, 'y': 0.1006280951640966, 'x': -0.051854625515512044})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04776984474622283, 'y': 0.06908555057840446, 'x': -0.03708838249564515})",-0.03282819373526412,False,"Coordinate({'z': 0, 'y': 0.10064410698215147, 'x': -0.028145374484487957})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.043165466621682476, 'y': 0.06909355648743189, 'x': -0.0029116175043548444})",-0.03282819373526412,False,"Coordinate({'z': 0, 'y': 0.10064410698215147, 'x': -0.028145374484487957})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': 0.02232213947577827})","Coordinate({'z': 0.043165466621682476, 'y': 0.06909355648743189, 'x': -0.0029116175043548444})",0.03282819373526412,True,"Coordinate({'z': 0, 'y': 0.1006280951640966, 'x': -0.051854625515512044})","Coordinate({'z': 0, 'y': 0.037543005992712306, 'x': -0.02232213947577827})","Coordinate({'z': 0.04776984474622283, 'y': 0.06908555057840446, 'x': -0.03708838249564515})",0.03282819373526412,1.0,-0.03282819373526412,0.0,-0.008031113740733198,0.0,0.0
